% # columns="iter, evals, sigma, 0, fitness, xbest" seed=968325, Mon Aug  5 13:29:52 2024, <python>{}</python>
1 10 0.3919720273270105 0 -0.7954067587852478 0 3 1 2 2 2 3 0
2 20 0.4498602831545357 0 -0.8154661059379578 0 3 1 1 1 2 3 0
3 30 0.5049795951385361 0 -0.8620995283126831 0 3 1 2 1 3 2 0
4 40 0.5247536567413948 0 -0.7977879047393799 0 3 1 2 3 3 2 0
5 50 0.6052237049431805 0 -0.900713324546814 0 3 0 3 1 3 2 0
6 60 0.6876337392179498 0 -0.8195275068283081 0 2 0 3 1 2 2 0
7 70 0.8299119341051637 0 -0.8669958114624023 1 3 0 2 0 3 0 1
8 80 0.908496674862155 0 -0.7587926983833313 0 3 0 2 1 3 0 1
9 90 0.9411490235121143 0 -0.8462561368942261 0 3 0 3 1 3 0 2
10 100 1.0298716995482786 0 -0.7416917681694031 1 3 0 2 0 3 1 3
11 110 1.017978288086828 0 -0.9741063117980957 0 2 2 3 0 3 1 2
12 120 0.9353954084158405 0 -0.8770461678504944 0 3 0 2 1 3 0 3
13 130 0.9574603399951898 0 -0.744845986366272 0 3 1 3 1 3 2 3
14 140 1.0476905326701031 0 -0.9684059619903564 1 2 3 2 0 3 0 3
15 150 1.0844627095443216 0 -0.8320310711860657 0 1 2 3 0 3 1 3
16 160 1.0982442102471994 0 -0.9162681102752686 2 3 2 2 0 3 0 3
17 170 0.9564979914431441 0 -0.902692437171936 0 3 1 2 1 2 0 3
18 180 0.9042056015665944 0 -0.8120438456535339 0 2 0 3 0 2 2 3
19 190 0.7808754423938737 0 -0.7645549178123474 0 2 0 3 0 2 1 3
20 200 0.7239947533044121 0 -0.7647198438644409 0 3 0 2 1 2 0 3
21 210 0.7029968154899126 0 -0.9507689476013184 0 3 0 3 1 2 1 3
22 220 0.8101797634147389 0 -0.7824908494949341 0 3 1 1 0 0 1 3
23 230 0.7971329680227579 0 -0.7444645762443542 0 3 1 1 1 3 0 2
24 240 0.9138105214743668 0 -0.7487320899963379 0 3 1 0 1 0 1 3
25 250 0.8574098745164817 0 -0.7097678780555725 0 3 1 1 0 1 0 3
26 260 0.8729833845304616 0 -0.8085391521453857 0 3 1 1 2 1 1 3
27 270 0.8960271730297633 0 -0.6802045106887817 0 3 0 2 1 3 2 3
28 280 0.8111629294075605 0 -0.8133633136749268 0 3 1 2 3 3 0 3
29 290 0.8459035476615191 0 -0.8369479775428772 1 2 2 0 3 3 0 3
30 300 0.8002264971496861 0 -0.7855110764503479 0 2 2 1 2 3 0 3
