name,k,VF,density,ASA_grav,ASA_vol,LPD,PLD,volume,,,,N_atoms,,N_metal_containing_bonds,N_metal_nonmetal_bonds,N_metal_linker_bonds,formula,metal_nonmetal_ratio,metal_node_connectivity,metal_node_name,N_atoms_per_linker,linker_SMILES,N_ccs
SR_afx_v1-4c_In_1_Ch_v2-4c_In_1_Ch_1TrU_Ch_1B_4H_Ch_1x1x1,0.06586,0.89022,0.324892,4504.62,1463.52,24.24274,15.54465,112041.562,,,,1104,,384,384,384,C11H3In1O8,0.045454545,4,4c_In_1_Ch,"8,16",O:C(:O)C#CC(:O):O___O:C(:O)C1:C:C:C(:C:C:1)C(:O):O,1
SR_act_v1-6c_Ni_1_Ch_v2-3c_triazine_Ch_2B_fused_Ch_ntn_edge_1x1x1,0.20752,0.57924,1.21816,911.57,1110.44,7.5323,4.66472,20863.59829,,,,1088,,288,288,192,C30H11N9Ni4O14,0.0625,6,6c_Ni_1_Ch,40,O:C(:O)C1:N:C(:N:C(:N:1)C1:C:C:C2:C:C(:C:C:C:2:C:1)C1:N:C(:N:C(:N:1)C(:O):O)C(:O):O)C(:O):O,1
SR_acs_v1-6c_Cr_1_Ch_2B_2NO2_Ch_2x2x2,0.23362,0.7837,0.557821,3620.81,2019.76,13.81612,12.12756,79086.04355,,,,1696,,240,240,192,C42Cr3H12N12O37,0.029126214,6,6c_Cr_1_Ch,34,O:C(:O)C1:C:C(:C(:C:C:1N(:O):O)C1:C:C(:C(:C:C:1N(:O):O)C(:O):O)N(:O):O)N(:O):O,1
SR_ahr_v1-6c_CdZn_1_Ch_v2-6c_B_Ch_v3-3c_B_Ch_1TrU_Ch_ntn_edge_2x2x1,0.38307,0.63236,1.08543,1444.46,1567.86,8.53801,5.44948,27080.4579,,,,1068,,192,192,144,C54Cd3H18O13Zn1,0.047058824,6,6c_CdZn_1_Ch,336,O:C(:O)C1:C:C2C#CC3:C:C(:C:C(:C:3)C3:C4C5:C:C(C#CC6:C:C(:C:C(:C:6)C6:C7C8:C:C(C#CC9:C:C(:C:C(:C:9)C9:C(C(:C:2):C:1):C1C2:C:C(C#CC%10:C:C(:C:C(:C:%10)C%10:C%11C%12:C:C(C#CC%13:C:C(:C:C(:C:%13)C:6:C6C%13:C:C(C#CC%14:C:C(:C:C(:C:%14)C:1:C1C%14:C:C(C#CC%15:C:C(:C:C(:C:%15)C%15:C%16C%17:C:C(C#CC%18:C:C(:C:C(:C:%18)C:6:C:7C6:C:C(C#CC7:C:C(:C:C(:C:7)C(:C:%10C7:C:C(C#CC%10:C:C(:C:C(:C:%10)C:3:%16)C(:O):O):C:C(:C:7)C(:O):O):C(C3:C:C(C#CC7:C:C(:C:C(:C:7)C:9:1)C(:O):O):C:C(:C:3)C(:O):O):C:%11C1:C:C(C#CC3:C:C(:C:C(:C:3)C:4:%15)C(:O):O):C:C(:C:1)C(:O):O)C(:O):O):C:C(:C:6)C(:O):O)C(:O):O):C:C(:C:%17)C(:O):O)C(:O):O):C:C(:C:%14)C(:O):O)C(:O):O):C:C(:C:%13)C(:O):O)C(:O):O):C:C(:C:%12)C(:O):O)C(:O):O):C:C(:C:2)C(:O):O)C(:O):O):C:C(:C:8)C(:O):O)C(:O):O):C:C(:C:5)C(:O):O)C(:O):O,1
SR_act_v1-6c_Zn_1_Ch_v2-3c_B_Ch_ntn_edge_1B_4CN_Ch_1x1x1,0.17001,0.55928,1.2215,0,0,7.24067,3.29262,22427.81992,,,,1136,,256,256,192,C39H9N6O13Zn4,0.059701493,6,6c_Zn_1_Ch,44,N#CC1:C(C#N):C(C2:C:C(:C:C(:C:2)C(:O):O)C(:O):O):C(C#N):C(C#N):C:1C1:C:C(:C:C(:C:1)C(:O):O)C(:O):O,1
SR_act_v1-6c_Zn_1_Ch_v2-3c_triazine_Ch_2B_1DoU_Ch_1x1x1,0.08219,0.94086,0.129568,7295.19,945.225,27.4682,21.24898,433186.6295,,,,3536,,256,256,192,C120H75N9O13Zn4,0.01843318,6,6c_Zn_1_Ch,144,O:C(:O)C1:C:C:C(C=CC2:C:C:C(:C:C:2)C2:N:C(:N:C(:N:2)C2:C:C:C(C=CC3:C:C:C(:C:C:3)C3:N:C(:N:C(:N:3)C3:C:C:C(C=CC4:C:C:C(:C:C:4)C(:O):O):C:C:3)C3:C:C:C(C=CC4:C:C:C(:C:C:4)C(:O):O):C:C:3):C:C:2)C2:C:C:C(C=CC3:C:C:C(:C:C:3)C(:O):O):C:C:2):C:C:1,1
SR_acs_v1-6c_Fe_1_Ch_1B_2CH3_Ch_2x2x2,0.2651,0.71756,0.679337,2991.66,2032.35,10.07044,8.04533,34458.81398,,,,1120,,240,240,192,C30Fe3H24O13,0.044776119,6,6c_Fe_1_Ch,22,CC1:C:C(C(:O):O):C(C):C:C:1C(:O):O,1
SR_agw_v1-3c_B_Ch_v2-4c_ethene_Ch_v3-6c_Cr_1_Ch_ntn_edge_1B_2SH_Ch_2x2x1,0.22126,0.6381,0.83557,1562.72,1305.76,9.31057,4.89063,48748.01578,,,,1808,,120,120,96,C120Cr3H66O13S24,0.013452915,6,6c_Cr_1_Ch,,None,1
SR_ahr_v1-6c_Ni_1_Ch_v2-6c_B_Ch_v3-3c_triazine_Ch_1B_2F_Ch_ntn_edge_2x2x1,0.22508,0.77176,0.589152,3176.18,1871.25,12.43883,9.49949,94764.99696,,,,2256,,216,216,144,C51F12H13N9Ni2O7,0.02173913,6,6c_Ni_1_Ch,,None,1
SR_afi_v1-4c_Cd_1_Ch_1B_2OH_Ch_1x1x1,0.05654,0.89926,0.286985,4935.76,1416.49,33.59614,30.92816,81905.77228,,,,888,,192,192,192,C16Cd1H8O12,0.027777778,4,4c_Cd_1_Ch,18,O:C(:O)C1:C:C(O):C(:C:C:1O)C(:O):O,1
SR_ahr_v1-6c_Zr_1_Ch_v2-6c_Zr_1_Ch_v3-3c_triazine_Ch_1TrU_Ch_1DoU_Ch_1B_4H_Ch_2x2x1,0.13187,0.82124,0.50131,3705.83,1857.77,16.47377,12.51551,148525.8234,,,,2808,,1152,1152,288,C36H34N9O32Zr6,0.054054054,6,6c_Zr_1_Ch,46,O:C(:O)C#CC1:N:C(C=CC(:O):O):N:C(:N:1)C1:C:C:C(:C:C:1)C1:N:C(C#CC(:O):O):N:C(C=CC(:O):O):N:1,1
SR_acs_v1-6c_Al_1_Ch_1DoU_Ch_2x2x3,1.40556,0.70014,0.765726,2869.75,2197.44,9.10159,7.18062,25929.0899,,,,816,,360,360,288,Al3C12H6O13,0.096774194,6,6c_Al_1_Ch,10,O:C(:O)C=CC(:O):O,1
